key,value
app.name,"Ember & Tide"
app.tagline,"Collect. Connect. Give."
nav.hearth,"Hearth"
nav.scout,"Scout"
nav.vault,"Vault"
nav.market,"Market"
nav.more,"More"
nav.assist,"Ember Assist"
hearth.title,"Good morning, Collector"
hearth.subtitle,"Your cozy hub. Track, plan, and stay inspired."
scout.title,"Scout"
scout.subtitle,"Find restocks. Save time. Shop smarter."
vault.title,"Vault"
vault.subtitle,"Your collection. Organized, valued, and always with you."
market.title,"Market"
market.subtitle,"Buy, sell, and trade fairly. All in one safe place."
more.title,"More"
more.subtitle,"Tools, community, and settings live here."
forge.title,"Forge"
forge.subtitle,"Build decks. Test ideas. Sharpen your strategy."
tidepool.title,"Tidepool"
tidepool.subtitle,"Track prices. Spot trends. Never miss a dip."
spark.title,"The Spark"
spark.subtitle,"Give back. Grow the hobby. Make a real impact."
assist.title,"Ember Assist"
assist.subtitle,"Your app helper. Scan, answer, guide, protect."
